filename,true_label,predicted_label,prob_cls0,prob_cls1,prob_cls2,prob_cls3,prob_cls4,prob_cls5,prob_cls6
test/ISIC_0035349.jpg,5,5,0.02348328,0.01431274,0.01686096,0.0160675,0.07666016,0.8359375,0.01690674
test/ISIC_0035377.jpg,5,5,0.01976013,0.02003479,0.01600647,0.02458191,0.01699829,0.88378906,0.01867676
test/ISIC_0035992.jpg,4,5,0.01625061,0.01289368,0.37939453,0.02484131,0.08630371,0.46557617,0.01473999
test/ISIC_0034893.jpg,5,5,0.01916504,0.01890564,0.01925659,0.02062988,0.01698303,0.88916016,0.01580811
test/ISIC_0036019.jpg,2,2,0.02200317,0.02107239,0.87011719,0.02224731,0.02191162,0.01837158,0.02442932
test/ISIC_0035414.jpg,4,4,0.02207947,0.02069092,0.01747131,0.02328491,0.86474609,0.03198242,0.01979065
test/ISIC_0035114.jpg,5,5,0.0160675,0.01535797,0.01110077,0.0262146,0.01783752,0.8984375,0.0148468
test/ISIC_0034611.jpg,5,5,0.0196228,0.01989746,0.01869202,0.02246094,0.01847839,0.88476562,0.01609802
test/ISIC_0035284.jpg,2,2,0.01407623,0.01241302,0.83349609,0.01797485,0.04071045,0.06323242,0.01821899
test/ISIC_0035915.jpg,0,4,0.01901245,0.01843262,0.16882324,0.02482605,0.73681641,0.02177429,0.01044464
test/ISIC_0035064.jpg,3,3,0.01516724,0.01269531,0.01420593,0.85595703,0.03070068,0.05532837,0.01600647
test/ISIC_0034591.jpg,2,2,0.1550293,0.01739502,0.76269531,0.01878357,0.01312256,0.0188446,0.0141449
test/ISIC_0034536.jpg,0,0,0.88623047,0.02235413,0.01776123,0.02270508,0.01491547,0.01727295,0.01855469
test/ISIC_0034616.jpg,5,5,0.02110291,0.01966858,0.02018738,0.02145386,0.0178833,0.8828125,0.01704407
test/ISIC_0035924.jpg,5,5,0.02349854,0.02198792,0.02218628,0.02236938,0.00945282,0.88037109,0.02018738
test/ISIC_0036063.jpg,2,2,0.02471924,0.0191803,0.86669922,0.02180481,0.02194214,0.02346802,0.02226257
test/ISIC_0034926.jpg,4,4,0.02668762,0.1505127,0.01818848,0.02378845,0.75390625,0.01242828,0.0142746
test/ISIC_0035972.jpg,5,5,0.02197266,0.01873779,0.0160675,0.01553345,0.05465698,0.86083984,0.01237488
test/ISIC_0035529.jpg,5,5,0.01832581,0.01879883,0.01429749,0.02227783,0.01763916,0.89306641,0.01570129
test/ISIC_0036008.jpg,2,2,0.01423645,0.01493073,0.90625,0.01554871,0.01113892,0.02146912,0.01661682
test/ISIC_0034562.jpg,5,5,0.02061462,0.01651001,0.01663208,0.0202179,0.01224518,0.89746094,0.01618958
test/ISIC_0034910.jpg,1,2,0.01765442,0.0690918,0.63769531,0.02255249,0.01660156,0.22021484,0.01602173
test/ISIC_0035275.jpg,5,2,0.01890564,0.01444244,0.65332031,0.01869202,0.04086304,0.23168945,0.02223206
test/ISIC_0035326.jpg,4,4,0.02046204,0.02227783,0.02148438,0.02578735,0.87646484,0.01583862,0.01748657
test/ISIC_0035138.jpg,5,5,0.02255249,0.0188446,0.02062988,0.0226593,0.0222168,0.87597656,0.01731873
test/ISIC_0035630.jpg,0,4,0.41552734,0.02560425,0.0141983,0.02807617,0.45288086,0.04577637,0.01774597
test/ISIC_0035155.jpg,2,2,0.0209198,0.01777649,0.88525391,0.02029419,0.01753235,0.01612854,0.02224731
test/ISIC_0036011.jpg,1,1,0.01805115,0.8828125,0.01493073,0.02723694,0.0259552,0.01392365,0.01696777
test/ISIC_0036024.jpg,5,5,0.02708435,0.02198792,0.01643372,0.02316284,0.02479553,0.86767578,0.01867676
test/ISIC_0035906.jpg,5,5,0.02079773,0.01637268,0.01786804,0.01667786,0.04342651,0.86962891,0.01533508
test/ISIC_0035204.jpg,5,5,0.02236938,0.01794434,0.04296875,0.01930237,0.00964355,0.87207031,0.01546478
test/ISIC_0034804.jpg,4,5,0.01571655,0.01342773,0.06921387,0.01236725,0.3918457,0.47753906,0.0198822
test/ISIC_0034599.jpg,5,5,0.02224731,0.01803589,0.01429749,0.02130127,0.0214386,0.87207031,0.03083801
test/ISIC_0034864.jpg,5,4,0.02050781,0.01506042,0.01266479,0.02359009,0.79541016,0.11968994,0.01318359
test/ISIC_0035469.jpg,5,5,0.01872253,0.01799011,0.0152359,0.02113342,0.01365662,0.89550781,0.01763916
test/ISIC_0035428.jpg,5,5,0.01985168,0.01921082,0.02076721,0.02073669,0.01812744,0.8828125,0.01850891
test/ISIC_0034807.jpg,5,5,0.0173645,0.01927185,0.01673889,0.02342224,0.01485443,0.890625,0.01753235
test/ISIC_0035596.jpg,5,5,0.02085876,0.01931763,0.01930237,0.0211792,0.01672363,0.88623047,0.01644897
test/ISIC_0035416.jpg,2,2,0.02336121,0.02107239,0.86962891,0.02307129,0.02276611,0.01715088,0.0227356
test/ISIC_0035863.jpg,3,5,0.01538086,0.00695419,0.0141449,0.05328369,0.06152344,0.82128906,0.02754211
test/ISIC_0035311.jpg,5,5,0.01983643,0.0193634,0.02062988,0.02229309,0.01367188,0.87988281,0.02426147
test/ISIC_0035448.jpg,5,5,0.02015686,0.02079773,0.0171051,0.01934814,0.01959229,0.88769531,0.0153656
test/ISIC_0035273.jpg,5,5,0.03001404,0.02137756,0.04177856,0.02339172,0.01329803,0.84863281,0.02125549
test/ISIC_0035799.jpg,2,2,0.02177429,0.01773071,0.88671875,0.0191803,0.0146637,0.02226257,0.01754761
test/ISIC_0035295.jpg,5,5,0.02374268,0.02044678,0.03182983,0.02325439,0.01195526,0.8671875,0.02151489
test/ISIC_0035122.jpg,5,5,0.01930237,0.01824951,0.01774597,0.0209198,0.01454163,0.89257812,0.01686096
test/ISIC_0035115.jpg,2,2,0.02609253,0.01405334,0.81835938,0.02027893,0.01609802,0.09130859,0.01395416
test/ISIC_0035752.jpg,1,1,0.01576233,0.88427734,0.01565552,0.01728821,0.02519226,0.01971436,0.02223206
test/ISIC_0035773.jpg,5,6,0.02513123,0.01643372,0.02891541,0.02333069,0.07116699,0.24902344,0.5859375
test/ISIC_0035086.jpg,5,5,0.02326965,0.02268982,0.01960754,0.03033447,0.01686096,0.8671875,0.0199585
test/ISIC_0035984.jpg,5,5,0.02000427,0.01750183,0.010849,0.01806641,0.05328369,0.86669922,0.01335907
test/ISIC_0035405.jpg,5,5,0.01724243,0.01799011,0.01446533,0.0184021,0.0145874,0.90039062,0.01676941
test/ISIC_0034557.jpg,5,5,0.02191162,0.01832581,0.02044678,0.02124023,0.01520538,0.88525391,0.01771545
test/ISIC_0035545.jpg,5,5,0.01998901,0.01617432,0.01580811,0.0144043,0.09875488,0.81542969,0.01959229
test/ISIC_0035099.jpg,4,4,0.0211792,0.01844788,0.01982117,0.02047729,0.87695312,0.02731323,0.01573181
test/ISIC_0034855.jpg,5,5,0.01976013,0.02029419,0.0160675,0.01942444,0.02624512,0.88232422,0.01568604
test/ISIC_0035147.jpg,3,3,0.02807617,0.02671814,0.02792358,0.85400391,0.02410889,0.02093506,0.01846313
test/ISIC_0034547.jpg,2,2,0.014534,0.01643372,0.67675781,0.02192688,0.21630859,0.03146362,0.02268982
test/ISIC_0035095.jpg,2,2,0.01612854,0.01763916,0.89404297,0.01908875,0.01264191,0.01982117,0.02064514
test/ISIC_0034667.jpg,5,5,0.01986694,0.0196991,0.0173645,0.02488708,0.01537323,0.88183594,0.0211792
test/ISIC_0034703.jpg,5,5,0.01794434,0.01615906,0.01875305,0.01742554,0.0138855,0.89990234,0.01571655
test/ISIC_0034669.jpg,0,2,0.06124878,0.01148224,0.84716797,0.01940918,0.01904297,0.01483917,0.02702332
test/ISIC_0036015.jpg,2,2,0.02006531,0.0171814,0.80419922,0.03204346,0.02432251,0.08551025,0.01679993
test/ISIC_0035880.jpg,5,5,0.01791382,0.01469421,0.02557373,0.01847839,0.01489258,0.89257812,0.01608276
