filename,pred_label,prob_cls
Malignant/6400.jpg,1,0.9819921
Malignant/6366.jpg,0,0.32362902
Malignant/6372.jpg,1,0.8811476
Malignant/6414.jpg,1,0.869121
Malignant/5653.jpg,1,0.99011177
Malignant/5647.jpg,1,0.99183464
Malignant/6428.jpg,1,0.5556433
Malignant/5874.jpg,1,0.9226409
Malignant/5860.jpg,1,0.59213746
Malignant/5848.jpg,1,0.84986246
Malignant/5690.jpg,1,0.9729153
Malignant/6399.jpg,1,0.58719337
Malignant/5684.jpg,1,0.96597576
Malignant/6164.jpg,1,0.89618605
Malignant/6602.jpg,1,0.90786
Malignant/6170.jpg,1,0.95060897
Malignant/6158.jpg,1,0.9240743
Malignant/6010.jpg,1,0.95538205
Malignant/6004.jpg,0,0.15232752
Malignant/6038.jpg,1,0.99055064
Malignant/6574.jpg,1,0.7114389
Malignant/6212.jpg,1,0.9857142
Malignant/6206.jpg,1,0.95462024
Malignant/6560.jpg,1,0.92842287
Malignant/6548.jpg,1,0.8487451
Malignant/5727.jpg,1,0.79340374
Malignant/5733.jpg,1,0.55664176
Malignant/5900.jpg,1,0.70872283
Malignant/5914.jpg,1,0.64516836
Malignant/5928.jpg,1,0.77516735
Malignant/5929.jpg,1,0.70761037
Malignant/5915.jpg,1,0.8122012
Malignant/5901.jpg,0,0.49841848
Malignant/5732.jpg,1,0.9854854
Malignant/6549.jpg,1,0.8983261
Malignant/5726.jpg,1,0.61969215
Malignant/6207.jpg,1,0.51483166
Malignant/6561.jpg,1,0.9302509
Malignant/6575.jpg,0,0.30713058
Malignant/6213.jpg,1,0.8741288
Malignant/6039.jpg,1,0.93418986
Malignant/6005.jpg,0,0.241694
Malignant/6011.jpg,1,0.98246
Malignant/6159.jpg,1,0.9901101
Malignant/6171.jpg,1,0.978856
Malignant/6165.jpg,0,0.18798144
Malignant/5685.jpg,1,0.9656153
Malignant/6398.jpg,0,0.440005
Malignant/5691.jpg,1,0.99506074
Malignant/5849.jpg,0,0.4103935
Malignant/5861.jpg,1,0.60776734
Malignant/5875.jpg,1,0.6702019
Malignant/5646.jpg,1,0.9589669
Malignant/6429.jpg,0,0.34714833
Malignant/5652.jpg,1,0.9865758
Malignant/6373.jpg,1,0.95942503
Malignant/6415.jpg,1,0.99879897
Malignant/6401.jpg,0,0.37835628
Malignant/6367.jpg,1,0.72368455
Malignant/6417.jpg,1,0.61685556
Malignant/6371.jpg,1,0.9239756
Malignant/5678.jpg,1,0.96527964
Malignant/6365.jpg,1,0.9392098
Malignant/6403.jpg,0,0.26525876
Malignant/5644.jpg,1,0.9878957
Malignant/6359.jpg,1,0.92066514
Malignant/5650.jpg,1,0.96400183
