filename,true_label,pred_label
Benign/6342.jpg,Benign,Malignant
Benign/6329.jpg,Benign,Malignant
Benign/6325.jpg,Benign,Malignant
Benign/6313.jpg,Benign,Malignant
Benign/6318.jpg,Benign,Malignant
Benign/6335.jpg,Benign,Malignant
Benign/6346.jpg,Benign,Malignant
Benign/6337.jpg,Benign,Malignant
Benign/6316.jpg,Benign,Malignant
Benign/6309.jpg,Benign,Malignant
Benign/6343.jpg,Benign,Malignant
Benign/6344.jpg,Benign,Malignant
Benign/6322.jpg,Benign,Malignant
Benign/6317.jpg,Benign,Malignant
Benign/6321.jpg,Benign,Malignant
Benign/6307.jpg,Benign,Malignant
Benign/6319.jpg,Benign,Malignant
Benign/6341.jpg,Benign,Malignant
Benign/6333.jpg,Benign,Malignant
Benign/6305.jpg,Benign,Malignant
Benign/6303.jpg,Benign,Malignant
Benign/6301.jpg,Benign,Malignant
Benign/6312.jpg,Benign,Malignant
Benign/6299.jpg,Benign,Malignant
Benign/6522.jpg,Benign,Malignant
Benign/6936.jpg,Benign,Unknown
Benign/6600.jpg,Benign,Malignant
Benign/7110.jpg,Benign,Malignant
Benign/6460.jpg,Benign,Malignant
Benign/7053.jpg,Benign,Malignant
Benign/7116.jpg,Benign,Malignant
Benign/6537.jpg,Benign,Malignant
Benign/6805.jpg,Benign,Malignant
Benign/7213.jpg,Benign,Malignant
Benign/7223.jpg,Benign,Malignant
Benign/6589.jpg,Benign,Malignant
Benign/6650.jpg,Benign,Malignant
Benign/7072.jpg,Benign,Malignant
Benign/6814.jpg,Benign,Malignant
Benign/6442.jpg,Benign,Malignant
Benign/6842.jpg,Benign,Malignant
Benign/6483.jpg,Benign,Malignant
Benign/7185.jpg,Benign,Malignant
Benign/6502.jpg,Benign,Malignant
Benign/6385.jpg,Benign,Malignant
Benign/6689.jpg,Benign,Malignant
Benign/6577.jpg,Benign,Malignant
Benign/6844.jpg,Benign,Malignant
Benign/7298.jpg,Benign,Malignant
Benign/7138.jpg,Benign,Malignant
Benign/7182.jpg,Benign,Malignant
Benign/6636.jpg,Benign,Malignant
Benign/7189.jpg,Benign,Malignant
Benign/7142.jpg,Benign,Malignant
Benign/7050.jpg,Benign,Malignant
Benign/6831.jpg,Benign,Malignant
Benign/7015.jpg,Benign,Malignant
Benign/6484.jpg,Benign,Malignant
Benign/6876.jpg,Benign,Malignant
Benign/7034.jpg,Benign,Malignant
Benign/7178.jpg,Benign,Malignant
Benign/6706.jpg,Benign,Malignant
Benign/6937.jpg,Benign,Malignant
Benign/7205.jpg,Benign,Unknown
Benign/6632.jpg,Benign,Malignant
Benign/7088.jpg,Benign,Malignant
Benign/6440.jpg,Benign,Malignant
Benign/7051.jpg,Benign,Malignant
Benign/7115.jpg,Benign,Malignant
Benign/6765.jpg,Benign,Malignant
Benign/6978.jpg,Benign,Malignant
Benign/7206.jpg,Benign,Malignant
Benign/6520.jpg,Benign,Malignant
Benign/7214.jpg,Benign,Malignant
Benign/6902.jpg,Benign,Malignant
Benign/7259.jpg,Benign,Malignant
Benign/6873.jpg,Benign,Malignant
Benign/6465.jpg,Benign,Malignant
Benign/6903.jpg,Benign,Malignant
Benign/7238.jpg,Benign,Malignant
Benign/6593.jpg,Benign,Malignant
Benign/6855.jpg,Benign,Malignant
Benign/7013.jpg,Benign,Malignant
Benign/6714.jpg,Benign,Malignant
Benign/7170.jpg,Benign,Malignant
Benign/6519.jpg,Benign,Malignant
Benign/6707.jpg,Benign,Malignant
Benign/7239.jpg,Benign,Malignant
Benign/6551.jpg,Benign,Malignant
Benign/6674.jpg,Benign,Malignant
Benign/6359.jpg,Benign,Malignant
Benign/7252.jpg,Benign,Malignant
Benign/6637.jpg,Benign,Malignant
Benign/6384.jpg,Benign,Malignant
Benign/6362.jpg,Benign,Malignant
Benign/6602.jpg,Benign,Malignant
Benign/6617.jpg,Benign,Malignant
Benign/6861.jpg,Benign,Malignant
Benign/6564.jpg,Benign,Malignant
Benign/6458.jpg,Benign,Malignant
Benign/7158.jpg,Benign,Malignant
Benign/6431.jpg,Benign,Malignant
Benign/6568.jpg,Benign,Malignant
Benign/7117.jpg,Benign,Malignant
Benign/6932.jpg,Benign,Malignant
Benign/6895.jpg,Benign,Malignant
Benign/7028.jpg,Benign,Malignant
Benign/6959.jpg,Benign,Malignant
Benign/6918.jpg,Benign,Malignant
Benign/6947.jpg,Benign,Malignant
Benign/6461.jpg,Benign,Malignant
Benign/6877.jpg,Benign,Malignant
Benign/6459.jpg,Benign,Malignant
Benign/7041.jpg,Benign,Malignant
Benign/6470.jpg,Benign,Malignant
Benign/6434.jpg,Benign,Malignant
Benign/6417.jpg,Benign,Malignant
Benign/7014.jpg,Benign,Malignant
Benign/6642.jpg,Benign,Malignant
Benign/6390.jpg,Benign,Malignant
Benign/6614.jpg,Benign,Malignant
Benign/7183.jpg,Benign,Malignant
Benign/6482.jpg,Benign,Malignant
Benign/6418.jpg,Benign,Malignant
